,State_Name,Crop_Type,Crop,N,P,K,pH,rainfall,temperature,Area_in_hectares,Production_in_tons,Yield_ton_per_hec
0,andhra pradesh,kharif,cotton,120,40,20,5.46,654.34,29.26666667,7300,9400,1.287671233
1,andhra pradesh,kharif,horsegram,20,60,20,6.18,654.34,29.26666667,3300,1000,0.303030303
2,andhra pradesh,kharif,jowar,80,40,40,5.42,654.34,29.26666667,10100,10200,1.00990099
3,andhra pradesh,kharif,maize,80,40,20,5.62,654.34,29.26666667,2800,4900,1.75
4,andhra pradesh,kharif,moong,20,40,20,5.68,654.34,29.26666667,1300,500,0.384615385
5,andhra pradesh,kharif,ragi,50,40,20,5.64,654.34,29.26666667,6700,11800,1.76119403
6,andhra pradesh,kharif,rice,80,40,40,5.54,654.34,29.26666667,35600,75400,2.117977528
7,andhra pradesh,kharif,sunflower,50,60,30,5.36,654.34,29.26666667,35900,11100,0.309192201
8,andhra pradesh,rabi,horsegram,20,60,20,6,288.3,25.46,600,200,0.333333333
9,andhra pradesh,rabi,jowar,80,40,40,5.5,288.3,25.46,18800,9400,0.5
10,andhra pradesh,rabi,maize,80,40,20,5.54,288.3,25.46,600,2400,4
11,andhra pradesh,rabi,ragi,50,40,20,5.6,288.3,25.46,600,1000,1.666666667
12,andhra pradesh,rabi,rice,80,40,40,5.54,288.3,25.46,18000,37300,2.072222222
13,andhra pradesh,rabi,sunflower,50,60,30,5.32,288.3,25.46,30100,11100,0.368770764
14,andhra pradesh,rabi,wheat,60,30,30,6.4,288.3,25.46,300,200,0.666666667
15,andhra pradesh,kharif,horsegram,20,60,20,5.98,654.34,29.26666667,3100,2000,0.64516129
16,andhra pradesh,kharif,jowar,80,40,40,5.4,654.34,29.26666667,2400,1500,0.625
17,andhra pradesh,kharif,maize,80,40,20,5.5,654.34,29.26666667,100,300,3
18,andhra pradesh,kharif,moong,20,40,20,5.5,654.34,29.26666667,200,100,0.5
19,andhra pradesh,kharif,ragi,50,40,20,5.64,654.34,29.26666667,10800,9900,0.916666667
20,andhra pradesh,kharif,rice,80,40,40,5.5,654.34,29.26666667,42300,84400,1.995271868
21,andhra pradesh,kharif,sesamum,30,15,30,6.4,654.34,29.26666667,400,100,0.25
22,andhra pradesh,kharif,sunflower,50,60,30,5.62,654.34,29.26666667,1300,600,0.461538462
23,andhra pradesh,rabi,horsegram,20,60,20,5.9,288.3,25.46,1200,400,0.333333333
24,andhra pradesh,rabi,ragi,50,40,20,5.32,288.3,25.46,1600,2300,1.4375
25,andhra pradesh,rabi,rice,80,40,40,5.4,288.3,25.46,57400,137400,2.393728223
26,andhra pradesh,rabi,sunflower,50,60,30,5.48,288.3,25.46,900,400,0.444444444
27,andhra pradesh,kharif,cotton,120,40,20,5.64,654.34,29.26666667,9800,23400,2.387755102
28,andhra pradesh,kharif,jowar,80,40,40,5.38,654.34,29.26666667,1100,600,0.545454545
29,andhra pradesh,kharif,maize,80,40,20,5.66,654.34,29.26666667,1600,2900,1.8125
30,andhra pradesh,kharif,ragi,50,40,20,5.58,654.34,29.26666667,200,100,0.5
31,andhra pradesh,kharif,rice,80,40,40,5.34,654.34,29.26666667,214100,429300,2.005137786
32,andhra pradesh,kharif,sesamum,30,15,30,6.34,654.34,29.26666667,1800,400,0.222222222
33,andhra pradesh,kharif,sunflower,50,60,30,5.56,654.34,29.26666667,300,200,0.666666667
34,andhra pradesh,rabi,horsegram,20,60,20,5.94,288.3,25.46,1300,800,0.615384615
35,andhra pradesh,rabi,jowar,80,40,40,5.38,288.3,25.46,200,200,1
36,andhra pradesh,rabi,maize,80,40,20,5.66,288.3,25.46,3600,13700,3.805555556
37,andhra pradesh,rabi,moong,20,40,20,5.48,288.3,25.46,59500,26500,0.445378151
38,andhra pradesh,rabi,ragi,50,40,20,5.58,288.3,25.46,100,100,1
39,andhra pradesh,rabi,rice,80,40,40,5.48,288.3,25.46,154400,491500,3.183290155
40,andhra pradesh,rabi,sesamum,30,15,30,6.42,288.3,25.46,1900,200,0.105263158
41,andhra pradesh,kharif,cotton,120,40,20,5.66,654.34,29.26666667,162300,432500,2.664818238
42,andhra pradesh,kharif,jowar,80,40,40,5.68,654.34,29.26666667,200,100,0.5
43,andhra pradesh,kharif,maize,80,40,20,5.46,654.34,29.26666667,1700,3100,1.823529412
44,andhra pradesh,kharif,moong,20,40,20,5.32,654.34,29.26666667,7400,2800,0.378378378
45,andhra pradesh,kharif,rice,80,40,40,5.34,654.34,29.26666667,295000,845300,2.865423729
46,andhra pradesh,rabi,jowar,80,40,40,5.5,288.3,25.46,2400,3500,1.458333333
47,andhra pradesh,rabi,maize,80,40,20,5.46,288.3,25.46,5000,19000,3.8
48,andhra pradesh,rabi,moong,20,40,20,5.42,288.3,25.46,7700,3100,0.402597403
49,andhra pradesh,rabi,rice,80,40,40,5.56,288.3,25.46,14500,51800,3.572413793
50,andhra pradesh,rabi,sesamum,30,15,30,6.48,288.3,25.46,4700,900,0.191489362
51,andhra pradesh,kharif,cotton,120,40,20,5.44,654.34,29.26666667,13400,17400,1.298507463
52,andhra pradesh,kharif,horsegram,20,60,20,6.02,654.34,29.26666667,200,100,0.5
53,andhra pradesh,kharif,jowar,80,40,40,5.62,654.34,29.26666667,7300,8100,1.109589041
54,andhra pradesh,kharif,maize,80,40,20,5.42,654.34,29.26666667,200,100,0.5
55,andhra pradesh,kharif,ragi,50,40,20,5.38,654.34,29.26666667,100,100,1
56,andhra pradesh,kharif,rice,80,40,40,5.42,654.34,29.26666667,47700,77500,1.624737945
57,andhra pradesh,kharif,sesamum,30,15,30,6.68,654.34,29.26666667,3200,700,0.21875
58,andhra pradesh,kharif,sunflower,50,60,30,5.42,654.34,29.26666667,51500,27400,0.532038835
59,andhra pradesh,rabi,horsegram,20,60,20,6.02,288.3,25.46,300,100,0.333333333
60,andhra pradesh,rabi,jowar,80,40,40,5.62,288.3,25.46,3000,2600,0.866666667
61,andhra pradesh,rabi,ragi,50,40,20,5.36,288.3,25.46,800,1300,1.625
62,andhra pradesh,rabi,rice,80,40,40,5.52,288.3,25.46,13000,27700,2.130769231
63,andhra pradesh,rabi,sunflower,50,60,30,5.4,288.3,25.46,3300,700,0.212121212
64,andhra pradesh,kharif,cotton,120,40,20,5.34,654.34,29.26666667,26400,63300,2.397727273
65,andhra pradesh,kharif,jowar,80,40,40,5.38,654.34,29.26666667,500,300,0.6
66,andhra pradesh,kharif,maize,80,40,20,5.38,654.34,29.26666667,5900,10500,1.779661017
67,andhra pradesh,kharif,moong,20,40,20,5.4,654.34,29.26666667,26700,10200,0.382022472
68,andhra pradesh,kharif,rice,80,40,40,5.6,654.34,29.26666667,257900,699400,2.711903839
69,andhra pradesh,kharif,sesamum,30,15,30,6.6,654.34,29.26666667,300,100,0.333333333
70,andhra pradesh,kharif,sunflower,50,60,30,5.36,654.34,29.26666667,2200,1100,0.5
71,andhra pradesh,rabi,horsegram,20,60,20,5.82,288.3,25.46,800,400,0.5
72,andhra pradesh,rabi,jowar,80,40,40,5.64,288.3,25.46,2200,2000,0.909090909
73,andhra pradesh,rabi,maize,80,40,20,5.46,288.3,25.46,2200,8200,3.727272727
74,andhra pradesh,rabi,moong,20,40,20,5.56,288.3,25.46,2500,1600,0.64
